text (S),location (S),phase (S),sentiment (S)
1 8 million followers none noticed erratic social media presence since dec 2019 clearly exhibiting enough hint even common people forget friends relatives,mumbai,1,NEUTRAL
105 trains arranged government bengal bring back migrant workers back home families ourown family lockdown4 migrantworkers bengalfightscorona westbengal mamatabanerjeeourown family lockdown4 migrantworkers bengalfightscorona westbengal mamatabanerjee,kolkata,1,NEUTRAL
3000 people died coronavirus whole world wants wear surgical mask nearly 1 35 million people die road accidents every year still one wants wear helmet gurudev srbachchan sir mumbaipolice afrozshah1 pradip103coronavirus helmet,mumbai,0,NEUTRAL
34 dead shocked saw two films lockdown sonchiriya chhichore brillinat performer rip sushantsinghrajputsushantsinghrajput,kolkata,1,NEGATIVE
4 regarding pesticides contaminants tea indian teas follow fssai norms use govt approved plant protection measures thousands tea samples tested every month domestic well exports tea producers buyers job regularly,kolkata,1,NEUTRAL
aaj ka http hai one wearing mask,chennai,1,NEUTRAL
abhijit mohanta great job bhai looking forward,bangalore,2,POSITIVE
additional genetic resistance among indian population corona virus single positive case hyper susceptibility chinese certainly need human genome angle addition insight mutating rna sequence,chennai,0,NEUTRAL
airtel presence know voice menu customer care awful tedious option talking customer care executive http amazon good job regard apart today got ambiguous call prepaid service recharge,hyderabad,0,NEGATIVE
alright theek h sab piche pad gaye uske coming place going war days ago serious cases corona,mumbai,0,NEUTRAL
apt movie title year gone wind covid19 gocoronago jobless coronavirus gonewiththewind 2020worstyearmovie year covid19 gocoronago jobless coronavirus gonewiththewind 2020worstyear,bangalore,2,NEUTRAL
area people respecting lockdown rules social distancing danger newdelhisouthex socialdistancingfail covid19pandemic socialdistancingkidhajjiya takesomeseriousaction rahulgandhi arvindkejriwal delhipolice bjp4delhi ndtv fayedsouza – leelaram market masjid moth south ex 2n new delhinewdelhisouthex socialdistancingfail covid19pandemic socialdistancingkidhajjiya takesomeseriousaction,delhi,1,NEUTRAL
arey bless self heard ekdum bakery fresh new virus 200x covid19 amp travel phonesbless bakery fresh virus covid19,mumbai,2,NEUTRAL
bad family country grave situation like covid19 border china see future party party deserve big curse people india,delhi,1,NEGATIVE
bangaloremirror nimmasuresh thought relaxation school fees pandemic schools pushing fees facing job losses wake govt,bangalore,2,NEGATIVE
bearing cost treatment coronavirus mohfw indiacoronavirus,kolkata,0,NEUTRAL
body interested yog classes 7 8 everyday free cost dr praveen saroha ji sports director nsit may contact shivani varmani gmail com google meet platform anybody attend yogaforall covid19 communityimmunityyogaforall covid19 communityimmunity,delhi,2,NEUTRAL
brother modiji visionary correct migrants fool bound die pm asked stay anyways migrants vote pm migrants die wont disturb winning margins ppl said abt notebandi dey voted,mumbai,1,NEUTRAL
camel stuck leg bridge fire brigade helped anybody help treatment – holkar bridge,mumbai,0,NEUTRAL
chennai citizen volunteers help chennaicorp covid19 combat https youtu mz5ptuhng5i chennaicorp albyjohnv businessline madhuta srinivasanravi srirags – thilai ganga nagarchennai covid19,chennai,2,NEUTRAL
chinese virus,bangalore,1,NEUTRAL
chinese virus compelled us think n act differently make dependence china zero need sm platforms soon talent come much better features tcs infosys wipro hcltech techmahindracsr,hyderabad,1,NEUTRAL
corona great opportunity land grabbers demolishing fruit market shiting breaking dwellings poor go111 ministers lavish farmhouses,hyderabad,2,NEUTRAL
corona virus genrated natural way china country laboratory genrated virus spread parts world u china trade war started year 2018 china country world wide business loss revenge spread corona virus world danger fo china,mumbai,1,NEUTRAL
corona virus microbe bigger individual country ’ playing russian roulette humans,mumbai,0,NEUTRAL
corona virus went meme serious problem face medical mask,delhi,1,NEGATIVE
corona wont let us go earthquake wont let us inside wonder supposed levitate thinking face,bangalore,1,NEGATIVE
coronavirus outbreak iran march 14 12 729 cases march 10 8 042 cases march 6 4 747 cases march 2 1 501 cases february 27 245 cases february 23 43 cases february 19 2 casescoronavirus,mumbai,0,NEUTRAL
delhi police monitoring social media people hereby advised post anything incriminating come across post plz contact cyber helpline – 155260 delhiriot2020 delhiviolance delhipolicedelhiriot2020 delhiviolance,delhi,0,NEUTRAL
depression lockdown many come,delhi,1,NEGATIVE
didi make stringent rules physical distancing mask etc preventive measures another spell lockdown would doom livelihood mamataofficial,kolkata,2,NEUTRAL
doctor requires treatment jail put behind bars dangerous coronavirus cmomaharashtra authackeray hmoindia desimojito theskindoctor13,hyderabad,1,NEUTRAL
doordarshan bharti 1194 channell display delhi hospitals name dr name phone corona related info across india various states info must also b made available dd 4 delhi people run citizens tax money let show statesmanship,chennai,1,NEUTRAL
dtptraffic traffic chaos front batra hospital mb road 2110hrs feb 14 2020 cops handle people supposed go hospital ’ reach,delhi,0,NEGATIVE
ending making india people st scans dalith peoples call believe dalith leaders cheaters indian migrants call hatvo criminal modi konext cheating google joint thinking http modi google cheater,mumbai,2,NEGATIVE
enviro annotations enviannotations excellent job onle national newspaper focussed environment prakashjavdekar secretary mohua mohua india unep unfccc sustdev un news centre earthdaynetwork ecoprabandhan scrappedtm,delhi,0,NEUTRAL
epic first time modiji accepting mistake least first time lockdown complete disaster similar demonetisation least buffer 2 3 given peoples letting go back respective homedemonetisation,bangalore,1,NEGATIVE
fakenaz rude thinking real katrina kaif good job gauti,kolkata,0,NEGATIVE
get lost ’ lost faith ur words mark words ripped ur mask soon,bangalore,1,NEGATIVE
