text,location,phase
give well boiled ginger lemon etc drink people reduce corona general medicine,chennai,1
day 29 psalm 126 5 prayer affected corona pray 704401 people affected disease pray prevalent countries like usa italy china india countries the… https www instagram com p b vdilkngia igshid gtxibcut01ww,chennai,1
tamilnadu corona controlled government hard http work public may advise medicine treatment given government hospital chennai slowly resuming normal life panic,chennai,1
sorry hurt manner dont anything china good relations china comes corona virus unfortunately started china amp unfortunate thing chinese govt hide entire world,chennai,1
said occurs based models drawn experts india may face severely numbers deaths intensity spread across nation due dangerous novel corona virus ncovid19,chennai,1
dont let come true kerala founding stone corona virus india highly risky get phase iii,bangalore,1
sad still people aware coronacorona,bangalore,1
mispelled karona cross mark corona,bangalore,1
coronainpakistan guys calling chinesevirus chinesevirus19 chinesebioterrorism chineseviruscorona kyu china se phatati hai ya bheek nahi milegi baat ka darr hai follow profile dare say chinese virus coronacoronainpakistan chinesevirus chinesevirus19 chinesebioterrorism chineseviruscorona,bangalore,1
plz sir give 1chanas making corona viruas madison plz sir u halp,bangalore,1
ammarajyamlokadapabiddalu logic less sense less use less scrap dinnama corona pouting faceammarajyamlokadapabiddalu,hyderabad,1
whencoronavirusisover indians going continue handwashing way used corona outbreakwhencoronavirusisover corona,hyderabad,1
let ’ appreciate captain atleast demanding ’ discourage dear cm pls try push assembly restart corona,hyderabad,1
aipoindi bro 2008 recession even 10 current situation clients stopped hiring mostly anni companies employees ni lay chesthunaru us staffing hit peaks corona done ippudaithey kashtamey,hyderabad,1
happiness relief coronacorona,hyderabad,1
spread red heart selector let corona spread corona contribute request covid19 encourage thankyou clap india indian charity happy homequarantine follow inspiration life gratitude love everyday lockdown family spreadlove covid appreciate donation shoutout please viruscorona contribute request covid19 encourage thankyou thankyou clap india indian charity happy homequarantine follow inspiration life gratitude gratitude love everyday lockdown family spreadlove covid appreciate donation shoutout please virus,mumbai,1
spread red heart selector let corona spread corona contribute request covid19 thankyou clap india charity happy homequarantine inspiration life gratitude love everyday lockdown motivation family encouragement spreadlove covid appreciate donation shoutout please viruscorona contribute request covid19 thankyou thankyou clap india charity happy homequarantine inspiration life gratitude gratitude love everyday lockdown motivation family encouragement spreadlove covid appreciate donation shoutout please virus,mumbai,1
think corona took mom seriously behalf corona made vessels mopping floor spending quality time parents strictly eating healthy homemade food time swiggy zomato bringing essentials market etc justjoking quarantinelife bascoronabas face tears joy folded handsquarantinelife bascoronabas,mumbai,1
covid 19 may alter lot business models supply chains people ’ spending patterns investing style etc may actually refer bc ac corona corona virus overrated humanity underrated sir dmuthuk,mumbai,1
northeastindia treat indians many tribal people ne region facing racism across country mainlanders call coronavirus looks covid 19 coronaupdate coronavirusupdates coronafighters corona covid19indianortheastindia covid 19 coronaupdate coronavirusupdates coronafighters corona covid19india,mumbai,1
coronafighters possible remove hair scalp infected corona also help safety recognition drharshvardhan drhvoffice icmrdelhi whosearo mohfw india ayushmannhacoronafighters,delhi,1
indiafightscorona young corona warriors https www youtube com watch v ekai2cgawgi via namo appindiafightscorona,delhi,1
