text,location,phase
sri venkateswara polytechnic college world record stay away corona world first hour college kalam world record announced world record,chennai,0
used time sneeze people around would say god bless days sneeze people around immdtly say god bless aap corona logy samajhiye,chennai,0
corona patients give 20 piece garlic fried gingelly oil sometime give puthina kothamalli juice reduce body heat may cure disease,chennai,0
singaporeair booked tickets conference singapore due scare corona virus relc conference postponed hope singapore airlines refund ticket money,chennai,0
singapore somewhat dithering owing corona virus small country cant take 30 odd cases affected whites wont pleased situations might left country,chennai,0
cleverly washing hands corona virus caro ya maro modis responsibility,bangalore,0
corona sars group virus create havoc country march temp parts country shall start going middle april shall 40 45 degrees c range difficult virus sustain certainly must prepared,bangalore,0
really hate chinese ppl wonder corona like virus infect badly treating animals inhumane way pouting face pouting face pouting face pouting face pouting face,bangalore,0
gmsbjp last week hv visited davanagere hv seen lot pigs main roads dirty garbage already people suffering corona virus fear swine flue please take action control sir make city beautiful,bangalore,0
understand situation grinning face grinning face lighter note say days world shit afraid virus corona next days celebrate hindi corona zipper mouth face,bangalore,0
may worried corona virus although new kill dont immunity preventing points corona worldhealthorganization cavid coronavíruscorona worldhealthorganization cavid coronav,hyderabad,0
corona virus vital tips follow https youtu 63nfckmod08 coronavirus covid2019 coronavirustruth coronaviruschina chinaviruscoronavirus covid2019 coronavirustruth coronaviruschina chinavirus,hyderabad,0
hi pawankalyan thank sugaali preethi villager killed yesterday thinking corona please also fight creating needed medical awareness rural areas small topic doesnt bring attention asking,hyderabad,0
new corona virus nobody touches,hyderabad,0
corona virus could enter india due high security indian hospitals sri mallikarjuna swamy devasthanam komuravelli https www instagram com p b8dygwfam7w igshid 1dbgfs8ds39hz,hyderabad,0
corona virus could enter india due high security indian hospitals sri mallikarjuna swamy devasthanam komuravelli https www instagram com p b8dygwfam7w igshid 1dbgfs8ds39hz,mumbai,0
whole world worried corona preoccupied digital payment forgetting payments made people survive,mumbai,0
urgent please request corona virus face medical mask hit china create new history clean treated mybmcwardgn uddhavthackeray authackeray varshaegaikwad fayedsouza anjanaomkashyap,mumbai,0
fear corona virus,mumbai,0
government considers felling trees mining coal drilling petroleum oil burning natural gas sustainable millions people already become victims recklessness corona much less threat environmental pollution,mumbai,0
civilised society deal corona viruses,delhi,0
non living things doesnt get effected corona brave enoughcorona,delhi,0
honble municipal councilors mlas mps visit china study action taken combat new corona virus thought beaming face smiling eyes,delhi,0
government pmoindia allowing “ singapore passengers ” free flow indian airports corona ‘ next target singapore cc narendramodi drsjaishankar drharshvardhancorona,delhi,0
saffron corona,delhi,0
additional genetic resistance among indian population corona virus single positive case hyper susceptibility chinese certainly need human genome angle addition insight mutating rna sequence,kolkata,0
reliancejio mailed payment detail mobile 9830034614 ported airtell please tell line start son study singapore corona effected country request please start line urgently,kolkata,0
corona accident must taken exception moreover media like nyt amp bbc dwelling proportion go xinhua find different reject xinhua state affiliated counter bbc amp others impartial,kolkata,0
arrest anuj corona virus dangerous dangerous quran virus india 20cr people affected safe jagratishukla31 rahulgandhi payal rohatgi tarekfatah mariawirth1 durgakantaroy asadowaisi ashishb49499449 digvijaya 28 aajtakarrest anuj,kolkata,0
corona virus dangerous dangerous quran virus india 20cr people affected safe kavita jagratishukla31 rahulgandhi payal rohatgi tarekfatah mariawirth1 durgakantaroy ileana official asadowaisi ashishb49499449,kolkata,0
unfortunate china would lagging behind production schedule virus problems etc india work double fill void left china never opportunity passing let us leave bus,chennai,0
oil demand set first fall decade virus takes toll iea,chennai,0
oil demand set first fall decade virus takes toll iea https reut rs 2oqty5f,chennai,0
diamond princess crew desperate help virus tightens grip,chennai,0
useless fellows ruling dont courage power take immediate action virus creating violence indians killing public peoples students military police supporters fire dog modi getting something,chennai,0
cleverly washing hands corona virus caro ya maro modis responsibility,bangalore,0
corona sars group virus create havoc country march temp parts country shall start going middle april shall 40 45 degrees c range difficult virus sustain certainly must prepared,bangalore,0
xiaomi xiaomiindia ndtv thewirehindi thelallantop realmemobiles oppomobileindia vivo india oneplus goods coming wuhan city china measures u taken packing accessories amp goods india preventing corana virus covid 19news basheerinc,bangalore,0
gmsbjp last week hv visited davanagere hv seen lot pigs main roads dirty garbage already people suffering corona virus fear swine flue please take action control sir make city beautiful,bangalore,0
china 3 cities announced past week would stop sale medicines fever cough 2 major symptoms new virus people go hospitals treatment instead self medicating amp staying home covid2019covid2019,hyderabad,0
may worried corona virus although new kill dont immunity preventing points corona worldhealthorganization cavid coronavíruscorona worldhealthorganization cavid coronav,hyderabad,0
shocking alarming china ruthless country go extent reach end also lesson every called big powerful nations world fool around overindulgence takes virus shake seemingly powerful nation,hyderabad,0
corona virus vital tips follow https youtu 63nfckmod08 coronavirus covid2019 coronavirustruth coronaviruschina chinaviruscoronavirus covid2019 coronavirustruth coronaviruschina chinavirus,hyderabad,0
new corona virus nobody touches,hyderabad,0
tiktok virus face medical mask 5 retakes clapper board oscar winner actors face hand mouth oscar best director award winner amya2208 majjanilife man dancing nista fun mhanje kai pan beaming face smiling eyes victory hand ra ra ra ra triangular flag hotel sahara star international mumbai https www instagram com p b8kbao3hlsu igshid 16r3ajpjcj9kbtiktok virus oscar oscar best director majjanilife nista fun mhanje kai pan ra ra ra ra,mumbai,0
something like carona virus,mumbai,0
urgent please request corona virus face medical mask hit china create new history clean treated mybmcwardgn uddhavthackeray authackeray varshaegaikwad fayedsouza anjanaomkashyap,mumbai,0
fear corona virus,mumbai,0
exactly said tweet week ago airline industry cope complete lack demand air travel cathay pacific turns old playbook virus crisis amid employee resistance,mumbai,0
love mutating virus tajmahal1989 netflixindia original giving butterflies im 25 mins 1st episode also nostalgia smiling face heart eyes ufftajmahal1989,delhi,0
honble municipal councilors mlas mps visit china study action taken combat new corona virus thought beaming face smiling eyes,delhi,0
couple questions requires clarity 1 suspected confirmed case covid19 2 kerala good 3 tier health system capable screening cases screening states 3 confident present case immune viruscovid19,delhi,0
indiapostoffice dont know good advice post staff use precaution carry packets coming china ask use sentizers masks appropriate stop spreading virus thank staysafestaysafe,delhi,0
one beautiful streets florence italy wuhan student studying abroad stood wid eyes amp face covered amp placard next day said im virus im human dont discriminate us see people responded coronavirusoutbreak corona viralitaly wuhan coronavirusoutbreak corona viral,delhi,0
1700 chinese doctors drafted fight coronavirus china six infected deadly virus treating patients died unfortunate would demoralise many doctors fighting coronavirus china,kolkata,0
1370 people china died far coronavirus main concern stop virus attacking anyone unfortunately preventive measures taken far failed job 1000 new cases reported everyday,kolkata,0
additional genetic resistance among indian population corona virus single positive case hyper susceptibility chinese certainly need human genome angle addition insight mutating rna sequence,kolkata,0
chidambaram good family economy doctors good nation may spread virus,kolkata,0
lying contagious virus striking mostly bjp govt ministers various spokespersons antidote available cure,kolkata,0
valentinesday2020 celebrating valentines day china face tears joy face tears joy face tears joy face tears joy coronavirus mastervalentinesday2020 coronavirus master,chennai,0
dow tumbles u warned 100 000s coronavirus cases https www ccn com dow collapse us braces hundreds thousands coronavirus cases via ccnmarketscoronavirus,chennai,0
japan records first coronavirus death two taxi drivers test positive,chennai,0
hunt patient zero spread coronavirus globally,chennai,0
coronavirus deaths cases leap china markets shiver,chennai,0
coronavirus hit hard expect asia ’ economies bounce back,bangalore,0
bbc news coronavirus wuhan diary got hospital bed three hours died,bangalore,0
chinese medical staff paying ‘ high price ’ coronavirus battle,bangalore,0
fact even deadly viruses coronavirus breeding nationally post 2014 chinese allow spread china destroys coronavirus china also destroys china,bangalore,0
related solar energy nothing coronavirus,bangalore,0
u need enquire find reasons coronavirus outbreak every year viral breakout happening padt ebola nipha saars mers swineflu covid2019 deliberate release harmful viruses pharma firms testing military purpose leaks amp checkscoronavirus ebola nipha saars mers swineflu covid2019,hyderabad,0
china official death toll novel coronavirus outbreak hubei province rose 121 today bringing total death toll nearly 1 500china coronavirus,hyderabad,0
may worried corona virus although new kill dont immunity preventing points corona worldhealthorganization cavid coronavíruscorona worldhealthorganization cavid coronav,hyderabad,0
mamataofficial madam waiting esteemed offices statement coronavirus tested positive patients kolkata yesterday statement status ease tension part common people bengal thanking advance,hyderabad,0
corona virus vital tips follow https youtu 63nfckmod08 coronavirus covid2019 coronavirustruth coronaviruschina chinaviruscoronavirus covid2019 coronavirustruth coronaviruschina chinavirus,hyderabad,0
wows modi shocking coronavirus world theres rubbish talking around world pm believed tensions around world fucking world around world modi win… https www instagram com p b8kft37ftwg igshid n4gl7b8dy7re,mumbai,0
coronavirus outbreak might much bigger know,mumbai,0
coronavirus date infected 65000 dead 1500,mumbai,0
india mumbai passenger cruise ship docked sydney cleared coronavirus fearsindia mumbai,mumbai,0
fly back infected mother land coronavírus scare uninfectable 場所 terminal 2 chatrapati shivaji terminal mumbai https www instagram com p b8jlzj0hhpf igshid 1qduppi28u9txcoronav scare uninfectable,mumbai,0
marriottbonvoy well done marriott gurgaon india allowing 10 guests late check due flight cancellation singapore due coronavirus fantastic service – courtyard marriott gurugram downtown,delhi,0
coronavirus revised diagnosis method china sees case numbers soar https twitter com events 1219057585707315201 coronavirusoutbreak coronavirus coronaalertcoronavirusoutbreak coronavirus coronaalert,delhi,0
coronavirus delaying sorts conferences around world maybe time catch last years action items agendas stop wasting money conferences expressionless facecoronavirus,delhi,0
wuhans cat rescuer man saving pets abandoned coronavirus outbreak – video,delhi,0
honble municipal councilors mlas mps visit china study action taken combat new corona virus thought beaming face smiling eyes,delhi,0
skull china expands chaotic mass roundup coronavirus crackdown https timesofindia indiatimes com world china china expands chaotic mass roundup coronavirus crackdown articleshow 74132499 cms utm campaign andapp amp utm medium referral amp utm source native share tray download toi app https timesofindia onelink efrt installtoichina,kolkata,0
1700 chinese doctors drafted fight coronavirus china six infected deadly virus treating patients died unfortunate would demoralise many doctors fighting coronavirus china,kolkata,0
1370 people china died far coronavirus main concern stop virus attacking anyone unfortunately preventive measures taken far failed job 1000 new cases reported everyday,kolkata,0
good coronavirus spreading adjacent countries fast expected earlier disease almost confined china people china dire situation,kolkata,0
additional genetic resistance among indian population corona virus single positive case hyper susceptibility chinese certainly need human genome angle addition insight mutating rna sequence,kolkata,0
additional genetic resistance among indian population corona virus single positive case hyper susceptibility chinese certainly need human genome angle addition insight mutating rna sequence,chennai,0
ancestors excellent intelligent ppl globe folded hands west says nohandshakes amp nocheektouches always namaste नमस्ते folded hands folded hands amp keep healthy covid19nohandshakes nocheektouches namaste covid19,bangalore,0
going help chinese friends take left help advise covid2019 covid19covid2019 covid19,bangalore,0
drsjaishankar meaindia travel advisory countries hit covid19 specific advisory travel japancovid19,bangalore,0
yeah feel bdw article dated 3rd february situation changed drastically covid19 coronavirus indiacovid19 coronavirus india,bangalore,0
covid19 coronavirus 2019ncov 44 754 cases 1 112 death 4 413 recoveredcoronavirus 2019ncov,bangalore,0
kudos chinese government taking swift action get rid covid19 let ’ hope quick medicine vaccine invented prayers chinese brothers sisters,hyderabad,0
warning selector graphic warnings warning selector chinese fur industri works covid19 coronavirusoutbreak chinawuhan china coronaviruesue animalcrossing animalrights animalcrossingnewhorizon animalfur dead chinalies dogs catsofinstagram industries indiasupportscaa animalscovid19 coronavirusoutbreak chinawuhan china coronaviruesue animalcrossing animalcrossing animalrights animalcrossingnewhorizon animalfur dead chinalies dogs catsofinstagram industries indiasupportscaa animals,hyderabad,0
warning selector graphic warnings warning selector chinese fur industri works covid19 coronavirusoutbreak chinawuhan china coronaviruesue animalcrossing animalrights animalcrossingnewhorizon animalfur dead chinalies dogs catsofinstagram industries indiasupportscaa animalscovid19 coronavirusoutbreak chinawuhan china coronaviruesue animalcrossing animalcrossing animalrights animalcrossingnewhorizon animalfur dead chinalies dogs catsofinstagram industries indiasupportscaa animals,hyderabad,0
warning selector graphic warnings warning selector chinese fur industri works covid19 coronavirusoutbreak chinawuhan china coronaviruesue animalcrossing animalrights animalcrossingnewhorizon animalfur dead chinalies dogs catsofinstagram industries indiasupportscaa animalscovid19 coronavirusoutbreak chinawuhan china coronaviruesue animalcrossing animalcrossing animalrights animalcrossingnewhorizon animalfur dead chinalies dogs catsofinstagram industries indiasupportscaa animals,hyderabad,0
chinawuhans hubei province epicenter covid19 reported 242 new deaths new standard 14 840 new confirmed cases feb 12 details 48 206 confirmed cases incl 13 332 clinical cases 1 310 deaths 3 441 recovered 33 693 hospitalizedchinawuhan hubei covid19,mumbai,0
panic prejudice spreading around world covid19 beautiful message find landing mumbai x unwto pololikashvili icao wttc iata coronaviruscovid19 coronavirus,mumbai,0
2019 20 covid 19 outbreak cases 64 473 deaths 1 384 recoveries 7 170 region 29 territories 1st case egypt first africa covid19 coronavirusoutbreak 2019 ncov coronaviruschina novelcoronavirus wuhanviruscovid19 coronavirusoutbreak 2019 ncov coronaviruschina novelcoronavirus wuhanvirus,delhi,0
saint rampal ji maharaj biggest doctor heal every deadly disease coronavius covid19 worldsavior saintrampalji cure cancercoronavius covid19 worldsavior saintrampalji,delhi,0
couple questions requires clarity 1 suspected confirmed case covid19 2 kerala good 3 tier health system capable screening cases screening states 3 confident present case immune viruscovid19,delhi,0
whats update covid19 news coronavirusoutbreak thailand one impacted region amp yet promoting travel region toiindianews httweets hindu pti news mohfw india responsible riskscoronavirusoutbreak,delhi,0
xi jin ping personally visited hospital covid19 patients treated modi ji visit kerala see required curb india dont tell life important,delhi,0
thanks,kolkata,0
social media everyone definitely someone use social media spread hatred violence,chennai,0
days easy people like khaledbeydoun never kashmir life time comment situation kashmir note people union territory jammu kashmir able access internet social networking sites blocked,chennai,0
clear instructions loudspeaker diamond suit selector song youtube la release aanathum 1st ellarum like panitu song paarunga diamond suit selector dont download song diamond suit selector dont upload song whatsapp fb instagram amp social media platforms diamond suit selector share official link social media platforms master orukuttikathaimaster orukuttikathai,chennai,0
school education must broad based exposure many say 4 languages physical social sciences sanskrit must school curriculum,chennai,0
20th february international social justice day thinking video collage send kind video talking social justice lets thank chennai india https www instagram com p b8hbl80nrmc igshid h6n0knqfvwts,chennai,0
