text,location,phase
jeffbezos sir covid 19 amazon pay amazon improve income telecasting advertisement use upi id instead exchange cash instead going outside lead corona virus thus prevent improve income hope useful possible reply,chennai,2
well said sachin waiting strong leaders like u show ur strength u pilot made leader born lead made masses public u worry तोड़ दो बंधन सारे हो जाओ उन्मुक्त इस corona के सहे समय में। best,chennai,2
hard work paid sir folded hands folded hands almost successfully controlled corona chennai http sir people cooperate wearing masks sanitizing folded hands folded hands,chennai,2
amazing madam good reach public follow strictly madams advice conquer corona successfully folded hands folded hands folded hands,chennai,2
district wise number corona positive persons tamil nadu till today information xpresstn newindianxpress,chennai,2
bitmoji dont u add corona virus face masks new arrivals avatars create awareness suggestion popped,bangalore,2
corona cases india low pm said lights sounds encourage health service provider dj encourage ministers reached 8lakh cases winking face tongue winking face tongue winking face tongue winking face tongue,bangalore,2
today performed ganesh homa mruthunjay homa druga homa behalf cheif minister bs yadiyurappa control corona virus,bangalore,2
corona virus teaching good ledsons every one live amp every one going back olden days prepare home made kashaya medicines drink junk food hotel food amp people healthy days follow stay home stay safe,bangalore,2
corona spreading due train flight services,bangalore,2
corona awareness self monitoring home early warnings morning amp evening 1 body temperature 98 4f 2 pulse rate 70 80 3 breathing rate per minute 16 18 adults 20 25 children 4 blood oxygen levels 95 100 pulseoximetry changes observed consult drcorona,hyderabad,2
almost 6h response anyone dangerous situation due corona requested take necessary action lets see many people effect atleast may realise telanganacmo,hyderabad,2
must watch city fight win corona virus jai hind reality lockdown watch share comment yes subscribe https youtu o0fwakhvf2e riteishd zeetalkies zeemarathi,hyderabad,2
corona great opportunity land grabbers demolishing fruit market shiting breaking dwellings poor go111 ministers lavish farmhouses,hyderabad,2
every body haveing responsibility break carona world wide country wide states wide dear bjp leaders politrics central bjp government give free treatment corona effected people country wide bjp leaders stop allmatti dam increasing,hyderabad,2
corona kavach policy details coming official youtube channel https bit ly thiinkyoutubechannel coronakavach healthinsurance coronakavachpolicy thiink http thiink https www instagram com p cco06k6jtaq igshid big41rufg3lacoronakavach healthinsurance coronakavachpolicy thiink,mumbai,2
hi friends mr ganesh nikam fighting corona sidhivinyak hospital thane need needs tokilizumab remdeshivir vaccine today tomorrow please help mob 9870853498 mieknathshinde thanecollector tmcatweetaway mantralayaroom,mumbai,2
extremeघटीयापंती cruel corona pandemic ruling congressrssbjp yet busy mla auctions across भारत 2goonsofभारत evictboth vikasphdecon ajatshatrumanik manishchandans12goonsof evictboth,mumbai,2
hello everyone sharing experience covid 19 corona virus click youtube link https youtu lvhgvjyttjm abhijeetsp officeofut narendramodi cmomaharashtra bjp4maharashtra shivsenacomms authackeray srbachchan officeofut,mumbai,2
get well soon corona warriors flexed biceps,mumbai,2
eat corona test live new delhi moti nagar,delhi,2
corona pandemic bio war china,delhi,2
new hights corona cases india 29000 single day highest far coronavirusupdatecoronavirusupdate,delhi,2
pmcare fund scam public money name corona taken donations playing fear n emotions people misuse political http benefit rti govt audit name donaters pm chairman hisab kitab pure loot,delhi,2
vaccinebywhen though good efforts vaccine efficacious safe vaccine corona still unpredictablevaccinebywhen,delhi,2
kab corona ki ladai mein apna yogdaan de paunga last sentence letter prison dr kafeel khan person prison living life like nightmares asks hard understand love people humanity freedrkafeel freedrkafeelfreedrkafeel freedrkafeel,kolkata,2
silver lining bengalfightscorona 11 000 test less 1400 positive decreasing numbers situation grim death dm hoogly 30s home quarantine tell us seriousness coronabengalfightscorona,kolkata,2
success politics depend integral corruption level see corona hit every industry except politics booming industry thats parent dream children become doctor engineer etc political leader fact situation,kolkata,2
government time think corona economy chinese intrusion capture power means rohanrgupta,kolkata,2
